"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 07 02:44:06 UTC 2024","Wed Aug 07 02:44:06 UTC 2024","23","","[undefined] test func:","","[undefined] test func:","test element exist 功能 ? && func","test element exist 功能 ? && func",""
"failed","Wed Aug 07 02:44:06 UTC 2024","Wed Aug 07 02:44:07 UTC 2024","720","","[undefined] test local:","","[undefined] test local:","test localhost content","test localhost content",""
